Your name,Greeting,timestamp
,,2026-03-15 20:49:24.424807
,,2026-03-15 20:49:32.751037
,,2026-03-15 20:49:35.139102
Georgios,"Hello, Georgios. Welcome to AI for Developers",2026-03-15 20:49:43.352213
Thodoris,"Hello, Thodoris. Welcome to AI for Developers",2026-03-15 20:49:52.934046
Georgios,"Hello, Georgios. Welcome to AI for Developers",2026-03-15 20:57:06.960426
Thodoris,"Hello, Thodoris. Welcome to AI for Developers",2026-03-15 20:57:27.563985
Thodoris,"Hello, Thodoris. Welcome to AI for Developers",2026-03-17 20:03:46.610521
Ntelezo,"Hello, Ntelezo. Welcome to AI for Developers",2026-03-17 20:04:18.213146
Katerina ,"Hello, Katerina . Welcome to AI for Developers",2026-03-17 20:04:52.886419
22,"Hello, 22. Welcome to AI for Developers",2026-03-17 20:05:08.136384
Theo,"Hello, Theo. Welcome to AI for Developers",2026-03-17 20:06:17.306034
67,"Hello, 67. Welcome to AI for Developers",2026-03-17 20:06:58.354641
Despoina,"Hello, Despoina. Welcome to AI for Developers",2026-03-17 20:08:32.563746
Kostas,"Hello, Kostas. Welcome to AI for Developers",2026-03-17 20:10:00.756799
Ai,"Hello, Ai. Welcome to AI for Developers",2026-03-17 20:10:49.593135
Thodoris Panagopoulos,"Hello, Thodoris Panagopoulos. Welcome to AI for Developers",2026-03-17 20:13:32.784738
Θοδωρής,"Hello, Θοδωρής. Welcome to AI for Developers",2026-03-17 20:15:13.423934
Δέσποινα,"Hello, Δέσποινα. Welcome to AI for Developers",2026-03-17 20:23:36.213132
